date,spend,permits,permit_val,starts,completions,manufactured,new_for_sale,months_supply,emratio,pop_level,gdp,mortgage_rate,fed_fund_rate,disp_income,pm_save,consump_durable,new_sold,hp_idx,rent_vacancy,owner_vacancy,week_earning,delinquent_rate,hor,hp_idx_qtr
2011-01-01,240548,420,5536.166,430,423.0,44,185,7.3,58.3,238704,99.6483150319792,4.755,0.13,12084.4,807.3,1085.0,307,141.52200000000002,9.7,2.6,791.0,10.36,66.4,140.61833333333334
2005-02-01,588435,1630,19065.434,1792,1608.0,138,439,4.3,62.4,225041,100.446099110936,5.6275,2.4,10677.1,263.6,1113.2,1319,163.344,10.0,1.8,693.3333333333334,1.4633333333333334,68.93333333333332,165.43655555555554
2005-07-01,628750,1722,24554.78,1724,1639.0,128,459,4.2,62.8,226153,100.586485044479,5.695,3.36,10839.0,193.4,1202.2,1389,172.859,9.9,1.9,697.0,1.59,68.8,174.57966666666667
2020-01-01,598551,977,17213.57,989,906.0,101,325,5.0,61.1,259502,100.752883576149,3.624,1.55,15149.7,1524.8,1553.0,685,214.904,6.6,1.1,1000.0,2.35,65.3,215.64633333333333
2014-03-01,369329,622,12039.207,652,629.0,63,187,4.9,58.9,247258,99.7533183903039,4.3425,0.06,12648.6,868.9,1231.9,405,163.088,7.766666666666667,1.9333333333333331,833.0,7.543333333333333,64.73333333333333,163.3088888888889
2007-01-01,537571,1174,14542.139,1130,1501.0,97,539,7.2,63.3,230650,101.23977102748,6.2175,5.17,11403.7,332.9,1183.5,891,184.516,10.1,2.8,733.0,2.08,68.4,184.421
2004-01-01,498640,1539,15790.964,1560,1434.0,122,376,3.8,62.3,222161,99.5870285901003,5.7125,0.94,10472.7,425.4,1048.1,1165,141.64600000000002,10.4,1.7,676.0,1.65,68.6,143.29866666666666
2004-07-01,543260,1620,23150.419,1675,1546.0,129,397,4.5,62.5,223422,99.7945918765541,6.056,1.4,10658.1,453.2,1076.9,1088,151.338,10.1,1.7,681.0,1.56,69.0,152.71699999999998
2018-04-01,573855,863,19219.115,892,787.0,98,294,4.8,60.4,257272,100.398485698099,4.4675,1.67,14275.9,1110.0,1461.6,642,200.655,6.8,1.5,928.0,3.22,64.3,201.44366666666667
2015-08-01,439616,712,14525.265,735,660.0,74,220,5.3,59.4,251096,100.376885540501,3.905,0.08,13354.9,1002.7,1322.5,518,172.938,7.2,1.9,862.0,5.296666666666667,63.73333333333333,173.87455555555556
2001-03-01,350029,1232,15198.444,1218,1193.0,245,286,3.8,64.3,214305,100.470283711235,6.952,5.59,9733.9,411.8,925.1,939,111.108,8.266666666666667,1.7,622.6666666666666,2.39,67.63333333333334,111.63033333333333
2003-08-01,453031,1521,19545.542,1484,1329.0,129,342,3.5,62.1,221507,99.1289802239903,6.264,1.0,10487.7,513.3,1059.3,1206,134.968,10.0,1.8666666666666667,663.6666666666666,1.74,68.46666666666667,136.28688888888888
2006-01-01,675679,1689,19764.781,1823,1663.0,163,525,5.3,62.9,227553,101.049609290109,6.145,4.09,11096.7,363.2,1167.9,1174,182.32,9.5,2.1,712.0,1.61,68.5,183.32366666666667
2015-06-01,433746,701,16678.109,698,633.0,68,216,4.9,59.4,250663,100.518741578537,3.9825,0.12,13292.7,1017.7,1309.8,480,171.467,7.133333333333333,1.8666666666666667,855.3333333333334,5.533333333333333,63.6,172.27133333333336
2002-03-01,385406,1289,15498.109,1292,1324.0,171,307,4.1,62.8,216823,99.1116371279202,7.014,1.78,9973.3,448.6,974.9,923,118.686,8.633333333333333,1.7,643.6666666666666,2.186666666666667,67.66666666666666,119.774
2014-02-01,363860,614,9647.518,594,629.0,61,185,5.4,58.7,247085,99.7212816302571,4.3025,0.07,12579.5,855.6,1204.7,420,162.52700000000002,8.033333333333333,1.9666666666666663,835.0,7.656666666666666,64.76666666666667,162.91144444444444
2016-08-01,481061,743,16896.429,721,744.0,80,242,5.3,59.8,253854,99.8196664654412,3.435,0.4,13578.9,962.8,1351.6,575,181.854,6.833333333333333,1.8,889.3333333333334,4.3,63.56666666666667,182.80744444444449
2018-07-01,559852,873,19036.56,860,818.0,95,313,6.1,60.6,257843,100.457695774003,4.5275,1.91,14440.0,1173.3,1478.2,628,202.926,7.1,1.6,934.0,2.99,64.4,203.67633333333333
2005-08-01,633710,1716,27296.494,1728,1649.0,124,477,4.5,62.9,226421,100.626072648861,5.82,3.3,10856.6,248.7,1139.5,1255,174.44299999999998,9.8,1.9333333333333331,699.3333333333334,1.606666666666667,68.86666666666666,176.23277777777778
2020-06-01,589685,850,20810.768,903,927.0,85,301,4.3,54.7,260204,93.5413665603573,3.1625,0.05,16272.5,3617.7,1701.5,936,217.657,6.166666666666667,0.9,1049.3333333333333,2.74,67.56666666666668,220.8021111111111
2008-07-01,364873,571,10535.678,615,831.0,82,421,10.5,62.2,233864,101.15329632852,6.426,2.11,11574.0,445.0,1100.0,477,163.566,9.9,2.8,763.0,5.28,67.9,161.95399999999998
2020-11-01,702717,1155,19839.048,1182,913.0,101,290,4.0,57.4,261085,97.7262752782543,2.765,0.09,15522.5,2311.5,1803.1,863,233.253,6.6,0.9666666666666668,1032.6666666666667,2.72,65.74833538677582,236.2232222222222
2013-03-01,312083,609,11392.273,624,604.0,57,152,3.7,58.5,244995,99.8861320156999,3.565,0.14,12262.1,729.1,1180.5,444,149.963,8.333333333333332,1.9666666666666663,827.6666666666666,9.46,65.0,151.3007777777778
