iter	RMSE
0	29.23574552
1	26.93663215
2	24.91835513
3	22.92918543
4	21.1413364
5	19.49258789
6	17.9940525
7	16.64748399
8	15.43027806
9	14.33080787
10	13.2717363
11	12.32019682
12	11.37648139
13	10.46530564
14	9.684496152
15	8.953087561
16	8.385446622
17	7.816383033
18	7.303659308
19	6.822633177
20	6.360989315
21	5.932181502
22	5.508938482
23	5.130129582
24	4.819962424
25	4.534139502
26	4.26606843
27	4.007627587
28	3.789936178
29	3.559789163
30	3.386752396
31	3.215466172
32	3.04207293
33	2.887760428
34	2.762852477
35	2.634088674
36	2.537852921
37	2.434852616
38	2.321673356
39	2.230652582
40	2.144615505
41	2.059148918
42	1.992849799
43	1.924524683
44	1.862951774
45	1.797478292
46	1.735612925
47	1.675848271
48	1.622698455
49	1.580461653
50	1.534239536
51	1.498776021
52	1.455560458
53	1.416975182
54	1.382121011
55	1.347490625
56	1.313498316
57	1.286493792
58	1.261956947
59	1.240612192
60	1.215403099
61	1.192006419
62	1.168751385
63	1.147904012
64	1.129557135
65	1.11035992
66	1.096595256
67	1.073263028
68	1.054579507
69	1.04032201
70	1.025949552
71	1.008954399
72	0.99095794
73	0.9800259389
74	0.9677532537
75	0.955203348
76	0.9467981018
77	0.9350827579
78	0.9209942803
79	0.9103836418
80	0.8923087869
81	0.8859689355
82	0.8684959596
83	0.8543703486
84	0.851343166
85	0.8379589677
86	0.8242136788
87	0.8197597715
88	0.8162976039
89	0.801968986
90	0.7993524144
91	0.7968508199
92	0.7923952948
93	0.7789967509
94	0.7765495764
95	0.7731873141
96	0.7710488514
97	0.755710178
98	0.7465848137
99	0.7443978513
