iter	Passed	Remaining
0	19	1890
1	32	1596
2	46	1489
3	59	1433
4	73	1398
5	87	1377
6	101	1345
7	112	1296
8	123	1248
9	135	1216
10	146	1181
11	156	1148
12	167	1124
13	179	1103
14	190	1079
15	200	1053
16	210	1029
17	221	1007
18	231	988
19	241	966
20	251	945
21	261	925
22	271	907
23	280	887
24	290	870
25	300	853
26	309	837
27	319	821
28	329	805
29	338	790
30	340	758
31	350	745
32	361	733
33	371	720
34	381	708
35	391	696
36	401	683
37	411	671
38	421	658
39	430	645
40	439	633
41	450	621
42	459	609
43	469	597
44	479	586
45	489	574
46	499	562
47	508	551
48	518	540
49	528	528
50	538	517
51	547	505
52	557	494
53	567	483
54	577	472
55	586	461
56	596	449
57	605	438
58	615	428
59	625	417
60	635	406
61	645	395
62	655	384
63	665	374
64	674	363
65	684	352
66	693	341
67	703	331
68	713	320
69	722	309
70	733	299
71	743	288
72	752	278
73	762	267
74	772	257
75	781	246
76	791	236
77	801	225
78	811	215
79	820	205
80	830	194
81	839	184
82	849	173
83	858	163
84	868	153
85	878	142
86	888	132
87	897	122
88	906	112
89	916	101
90	925	91
91	935	81
92	945	71
93	955	60
94	964	50
95	974	40
96	983	30
97	992	20
98	1002	10
99	1011	0
