iter	RMSE
0	22.94683785
1	22.35230984
2	21.78558239
3	21.20315774
4	20.698184
5	20.1691563
6	19.64095591
7	19.16443413
8	18.69572361
9	18.22729274
10	17.80218538
11	17.34241514
12	16.90694829
13	16.49239574
14	16.08192018
15	15.69150263
16	15.33656061
17	14.95482084
18	14.56608796
19	14.21339574
20	13.88324846
21	13.56596626
22	13.22311091
23	12.90563153
24	12.58422877
25	12.26449625
26	11.9609146
27	11.66388653
28	11.38105001
29	11.1208493
30	10.84724269
31	10.57825267
32	10.34314001
33	10.07944351
34	9.821039704
35	9.58174006
36	9.368182521
37	9.130809385
38	8.917390762
39	8.704879584
40	8.527141637
41	8.319687816
42	8.127134826
43	7.926448894
44	7.765657542
45	7.597595271
46	7.414710088
47	7.246657705
48	7.090528984
49	6.94686905
50	6.795602346
51	6.642565065
52	6.488259999
53	6.337380771
54	6.210570679
55	6.060044485
56	5.921053067
57	5.799427583
58	5.668093714
59	5.559341799
60	5.441270207
61	5.322147802
62	5.20758568
63	5.093029607
64	4.984646302
65	4.873622019
66	4.770702948
67	4.663331637
68	4.569720576
69	4.467624568
70	4.375572933
71	4.296026447
72	4.205412899
73	4.114227398
74	4.027985069
75	3.951293266
76	3.872032508
77	3.790778103
78	3.720043154
79	3.654075487
80	3.591026218
81	3.526130731
82	3.458007391
83	3.396865745
84	3.338119866
85	3.279231706
86	3.227151616
87	3.16671246
88	3.121370642
89	3.067146332
90	3.015237194
91	2.954936906
92	2.901581044
93	2.852759639
94	2.8090078
95	2.762184212
96	2.719317783
97	2.672903859
98	2.630702123
99	2.586775542
100	2.551300993
101	2.511395053
102	2.471441643
103	2.434797625
104	2.400087527
105	2.360776853
106	2.32361271
107	2.285966287
108	2.252644141
109	2.221105611
110	2.189320362
111	2.15606239
112	2.123628881
113	2.095359081
114	2.068020617
115	2.038627916
116	2.011876048
117	1.986312568
118	1.957958579
119	1.932668408
120	1.910555928
121	1.884516664
122	1.861531317
123	1.834448015
124	1.812167941
125	1.791442228
126	1.765735435
127	1.75192286
128	1.730889379
129	1.715682057
130	1.698158456
131	1.680057216
132	1.659175445
133	1.640548769
134	1.620817419
135	1.607390842
136	1.591596283
137	1.572635094
138	1.558093689
139	1.544991755
140	1.533051202
141	1.52130065
142	1.507927355
143	1.490058272
144	1.480017293
145	1.463013753
146	1.453480123
147	1.43961568
148	1.42710176
149	1.414153364
150	1.405182531
151	1.392236346
152	1.381816218
153	1.367781768
154	1.356625908
155	1.344385089
156	1.332597665
157	1.32213738
158	1.314917995
159	1.305667249
160	1.294827434
161	1.286671098
162	1.277699412
163	1.267924136
164	1.258481004
165	1.248141846
166	1.240959671
167	1.230017072
168	1.221229835
169	1.215564196
170	1.206350818
171	1.197539818
172	1.189245188
173	1.183011492
174	1.174739387
175	1.165835905
176	1.157544698
177	1.148382308
178	1.138298623
179	1.131766084
180	1.125939244
181	1.11808827
182	1.111748967
183	1.104899532
184	1.098082599
185	1.093262245
186	1.08904185
187	1.081462575
188	1.075276199
189	1.069955157
190	1.064235722
191	1.058795376
192	1.053162339
193	1.047328447
194	1.041937438
195	1.035944093
196	1.028341441
197	1.021253863
198	1.016158209
199	1.012583379
200	1.008385353
201	1.002776237
202	0.9953141736
203	0.9889165856
204	0.9859414546
205	0.9795643454
206	0.9758915416
207	0.9717596549
208	0.9666490146
209	0.961473722
210	0.9557223858
211	0.9512212576
212	0.9450244828
213	0.9400055238
214	0.9370435328
215	0.9337431881
216	0.9312822283
217	0.9261440851
218	0.9222839824
219	0.9202990627
220	0.9192917745
221	0.9149001181
222	0.9094449619
223	0.9048203537
224	0.9028905109
225	0.9017853707
226	0.8952603398
227	0.8914856478
228	0.8903548639
229	0.8870247491
230	0.8861271417
231	0.8850105739
232	0.8839930271
233	0.8801304712
234	0.8779692148
235	0.874854772
236	0.8739235693
237	0.872613507
238	0.8678072383
239	0.8668342128
240	0.8634168456
241	0.8597476777
242	0.8563122597
243	0.8553935879
244	0.8545122673
245	0.8504908306
246	0.8468380262
247	0.8459369001
248	0.8450265068
249	0.8392579125
250	0.8343099985
251	0.8334779329
252	0.8302562608
253	0.8258458184
254	0.8249903233
255	0.8206315547
256	0.8198363982
257	0.8166871833
258	0.8159076053
259	0.8150990195
260	0.8101695281
261	0.8094040738
262	0.8049368307
263	0.8041799547
264	0.8034308538
265	0.8026475021
266	0.7987479148
267	0.797420418
268	0.7937032363
269	0.7888403186
270	0.7839210473
271	0.7831706202
272	0.7801520071
273	0.779406555
274	0.7747271933
275	0.7709964352
276	0.7703255083
277	0.7696278701
278	0.7689038216
279	0.7646375725
280	0.7639494477
281	0.7632708787
282	0.7626037739
283	0.7597128276
284	0.7563655593
285	0.7535675637
286	0.7493731368
287	0.7457297628
288	0.7410247638
289	0.7404112898
290	0.7366893132
291	0.7337785367
292	0.7331020515
293	0.7324817966
294	0.728883458
295	0.7282288083
296	0.7275931284
297	0.7234530124
298	0.7228556455
299	0.7190563853
300	0.7147400508
301	0.7109644342
302	0.7103391621
303	0.7097767018
304	0.7091536692
305	0.7065676819
306	0.7059758839
307	0.7054176017
308	0.7018932241
309	0.6992359342
310	0.6987501145
311	0.6982283591
312	0.6956690728
313	0.6928204203
314	0.6895555812
315	0.6890264878
316	0.6885062778
317	0.6862042713
318	0.6841452835
319	0.6808703743
320	0.6803897821
321	0.6773900548
322	0.6768797098
323	0.6763584154
324	0.6734204267
325	0.6706013217
326	0.6678559358
327	0.6652807416
328	0.662226842
329	0.6617971979
330	0.6579501654
331	0.6574609994
332	0.6550356814
333	0.652647986
334	0.6521884474
335	0.6517156146
336	0.6512547679
337	0.6507964294
338	0.6480555484
339	0.6462339114
340	0.6440130078
341	0.6435658084
342	0.643126141
343	0.6402860386
344	0.6388993818
345	0.6370276906
346	0.6366008758
347	0.6341244296
348	0.6337068015
349	0.6321096578
350	0.6317309202
351	0.6292102293
352	0.626828164
353	0.6251346253
354	0.622792269
355	0.6210463523
356	0.6192583331
357	0.6188616906
358	0.6157251808
359	0.613502972
360	0.6121842192
361	0.6088676864
362	0.6072122857
363	0.6068452085
364	0.6064619879
365	0.6043240548
366	0.6039646496
367	0.6019316456
368	0.6015540887
369	0.6012152231
370	0.5982858791
371	0.5979186413
372	0.595834192
373	0.5944237951
374	0.5940700801
375	0.5927020239
376	0.5913841891
377	0.5910549075
378	0.5896857658
379	0.5877591438
380	0.5855221558
381	0.5851752001
382	0.5834518633
383	0.5819376274
384	0.5805209623
385	0.5782936767
386	0.5770979713
387	0.5756124498
388	0.5752942677
389	0.5722221842
390	0.570231268
391	0.5699171158
392	0.5663934311
393	0.5642793974
394	0.5623978425
395	0.561089789
396	0.5596843409
397	0.5574725026
398	0.5561110779
399	0.5548718745
400	0.5533534081
401	0.551805547
402	0.5514801414
403	0.5502092079
404	0.5488721791
405	0.5470760628
406	0.5454446743
407	0.5435172074
408	0.5419455562
409	0.5404644668
410	0.5393364215
411	0.5390482699
412	0.537697137
413	0.536025739
414	0.5357380507
415	0.5354605075
416	0.5328256103
417	0.5313481176
418	0.5299028771
419	0.5285786632
420	0.5270073359
421	0.5260817455
422	0.5257474269
423	0.5246612645
424	0.5236361581
425	0.5221299125
426	0.5214835501
427	0.519808159
428	0.518595831
429	0.5159741003
430	0.5148693428
431	0.5146170007
432	0.513450361
433	0.5131314477
434	0.5105773071
435	0.5092172203
436	0.5069710624
437	0.5067359836
