iter	Passed	Remaining
0	3	3808
1	8	4465
2	12	4018
3	15	3754
4	17	3575
5	20	3470
6	24	3485
7	27	3397
8	30	3340
9	33	3298
10	36	3282
11	40	3296
12	43	3271
13	46	3249
14	49	3239
15	53	3281
16	56	3257
17	59	3220
18	62	3202
19	64	3174
20	68	3182
21	71	3168
22	74	3150
23	76	3131
24	79	3116
25	83	3138
26	86	3127
27	89	3112
28	92	3085
29	94	3070
30	98	3076
31	101	3072
32	104	3062
33	107	3060
34	110	3050
35	114	3063
36	117	3059
37	120	3050
38	124	3063
39	127	3057
40	131	3065
41	134	3061
42	137	3057
43	141	3064
44	144	3069
45	148	3083
46	151	3079
47	155	3075
48	157	3064
49	162	3094
50	165	3086
51	169	3094
52	173	3094
53	176	3098
54	180	3106
55	184	3104
56	187	3106
57	191	3110
58	195	3112
59	198	3109
60	202	3110
61	205	3114
62	210	3137
63	214	3132
64	217	3125
65	221	3130
66	224	3132
67	228	3125
68	231	3119
69	234	3115
70	239	3129
71	242	3123
72	245	3117
73	248	3110
74	251	3101
75	254	3093
76	257	3084
77	260	3076
78	262	3064
79	265	3058
80	269	3056
81	272	3054
82	275	3045
83	278	3036
84	281	3029
85	286	3041
86	288	3031
87	291	3024
88	294	3015
89	297	3005
90	300	3006
91	303	2998
92	306	2990
93	309	2981
94	312	2973
95	315	2968
96	318	2965
97	321	2956
98	323	2948
99	326	2941
100	330	2944
101	334	2943
102	337	2943
103	340	2934
104	343	2929
105	347	2929
106	350	2925
107	353	2918
108	355	2908
109	358	2901
110	362	2906
111	366	2903
112	368	2895
113	371	2889
114	374	2885
115	378	2883
116	381	2879
117	384	2871
118	386	2862
119	389	2855
120	392	2850
121	395	2848
122	398	2840
123	400	2831
124	403	2826
125	407	2825
126	410	2824
127	413	2819
128	416	2814
129	419	2810
130	423	2809
131	426	2807
132	429	2799
133	431	2790
134	434	2782
135	437	2781
136	440	2777
137	443	2770
138	446	2763
139	449	2759
140	452	2757
141	456	2755
142	458	2749
143	461	2742
144	463	2734
145	467	2733
146	470	2727
147	472	2722
148	475	2713
149	477	2706
150	480	2699
151	483	2699
152	486	2695
153	489	2690
154	492	2684
155	495	2681
156	498	2678
157	502	2675
158	504	2669
159	507	2663
160	510	2658
161	526	2721
162	529	2719
163	532	2714
164	535	2711
165	538	2705
166	541	2698
167	544	2697
168	548	2695
169	551	2690
170	554	2685
171	556	2681
172	561	2682
173	565	2684
174	568	2680
175	571	2676
176	576	2678
177	582	2689
178	585	2687
179	590	2689
180	595	2694
181	599	2695
182	602	2691
183	606	2690
184	611	2692
185	614	2691
186	618	2687
187	622	2690
188	626	2689
189	630	2686
190	633	2683
191	638	2687
192	643	2691
193	647	2689
194	650	2685
195	656	2692
196	660	2691
197	664	2689
198	668	2690
199	672	2691
200	676	2688
201	680	2687
202	685	2690
203	688	2687
204	692	2684
205	695	2680
206	700	2682
207	703	2679
208	707	2676
209	710	2672
210	714	2672
211	718	2669
212	721	2664
213	724	2659
214	728	2659
215	732	2658
216	735	2653
217	738	2648
218	741	2645
219	745	2644
220	749	2640
221	751	2634
222	755	2630
223	758	2628
224	761	2624
225	764	2619
226	767	2613
227	770	2607
228	773	2605
229	776	2600
230	780	2596
231	783	2593
232	786	2589
233	790	2588
234	793	2584
235	796	2578
236	799	2572
237	801	2566
238	805	2564
239	808	2560
240	811	2556
241	815	2552
242	819	2552
243	822	2549
244	827	2548
245	830	2544
246	833	2540
247	837	2540
248	841	2538
249	844	2533
250	847	2528
251	850	2525
252	853	2521
253	856	2516
254	859	2510
255	861	2504
256	865	2502
257	868	2497
258	871	2492
259	873	2486
260	876	2481
261	879	2476
262	882	2471
263	884	2467
